URL,Contract Number,Contractor,Address,Phone,Email,Web Address,SAM UEI,NAICS,Current Option Period End Date,Ultimate Contract End Date,Contract Officer,SINS,Source,Timestamp,Terms & Conditions Link
https://www.gsaelibrary.gsa.gov/ElibMain/contractorInfo.do?contractNumber=47QRCA25DS603&contractorName=AERMOR+LLC&executeQuery=YES,"47QRCA25DS603
47QTCA25D006B
47QRCA25DU503
47QRCA25DV074",AERMOR LLC,"207 BUSINESS PARK DR<br>STE 100<br>VIRGINIA BEACH, VA 23462-6536",(757)214-0501,penny.morgan@aermor.com,http://aermor.com/,FX9ZNBSKELC6,336611,"Dec 18, 2029",,"Mckenna Heath
817-978-1011
mckenna.heath@gsa.gov",,,2025-05-14 20:58:47,https://www.gsaadvantage.gov/ref_text/47QTCA25D006B/47QTCA25D006B_online.htm
https://www.gsaelibrary.gsa.gov/ElibMain/contractorInfo.do?contractNumber=47QTCA19D00AV&contractorName=ANVAYA+SOLUTIONS+INC&executeQuery=YES,47QTCA19D00AV,ANVAYA SOLUTIONS INC,"193 BLUE RAVINE RD<br>STE 250<br>FOLSOM, CA 95630-4756",916-673-9300,shobha@anvayasolutions.com,http://anvayasolutions.com/,NUMGBF2DFPM1,541519,"Apr 25, 2029","Apr 25, 2039","Annmarie Burns
202-501-0000
annmarie.burns@gsa.gov",,,2025-05-14 20:58:51,https://www.gsaadvantage.gov/ref_text/47QTCA19D00AV/47QTCA19D00AV_online.htm
https://www.gsaelibrary.gsa.gov/ElibMain/contractorInfo.do?contractNumber=36F79724D0213&contractorName=0625+LLC&executeQuery=YES,36F79724D0213,"0625 LLC
DBA: RINSADA","10492 ALLANTE COURT<br>GIBSONIA, PA 15044",347-746-7232,srini@rinsada.com,http://www.rinsada.com/,PFR8HBH8J473,,"Sep 30, 2029",,"JUANA ASTUDILLO
(708)786-7737
juana.astudillo@va.gov",,,2025-05-14 20:58:56,https://www.gsaadvantage.gov/ref_text/36F79724D0213/36F79724D0213_online.htm
https://www.gsaelibrary.gsa.gov/ElibMain/contractorInfo.do?contractNumber=GS-10F-0379Y&contractorName=AERO+E+H+%26+S+INC&executeQuery=YES,GS-10F-0379Y,AERO E H & S INC,"10310B BALTIMORE NATIONAL PIKE<br>ELLICOTT CITY, MD 21042-2128",4104803636,hentgen@aeroehs.com,http://www.aeroehs.net/,VF9WHJ3K9NK3,541620,"Jul 4, 2027","Jul 4, 2032","Ethel Jones
404-215-6911
ethel.jones@gsa.gov",,,2025-05-14 20:59:01,https://www.gsaadvantage.gov/ref_text/GS10F0379Y/GS10F0379Y_online.htm
https://www.gsaelibrary.gsa.gov/ElibMain/contractorInfo.do?contractNumber=47QRAA21D0054&contractorName=%231+STRATEGIC+SOLUTIONS%2C+LIMITED+LIABILITY+COMPANY&executeQuery=YES,47QRAA21D0054,"#1 STRATEGIC SOLUTIONS, LIMITED LIABILITY COMPANY","6537 APOLLO WAY<br>INDIANAPOLIS, IN 46278-1945",3177502693,susan@strategicsolutionsusa.com,http://www.strategicsolutionsusa.com/,N3XTRPJH2S84,541511,"Apr 30, 2026","Apr 30, 2041","Darrell Howell
210-709-9555
darrell.howell@gsa.gov",,,2025-05-14 20:59:41,https://www.gsaadvantage.gov/ref_text/47QRAA21D0054/47QRAA21D0054_online.htm
https://www.gsaelibrary.gsa.gov/ElibMain/contractorInfo.do?contractNumber=47QRCA25DS603&contractorName=AERMOR+LLC&executeQuery=YES,"47QRCA25DS603
47QTCA25D006B
47QRCA25DU503
47QRCA25DV074",AERMOR LLC,"207 BUSINESS PARK DR<br>STE 100<br>VIRGINIA BEACH, VA 23462-6536",(757)214-0501,penny.morgan@aermor.com,http://aermor.com/,FX9ZNBSKELC6,336611,"Dec 18, 2029",,"Mckenna Heath
817-978-1011
mckenna.heath@gsa.gov",,,2025-05-14 20:59:46,https://www.gsaadvantage.gov/ref_text/47QTCA25D006B/47QTCA25D006B_online.htm
https://www.gsaelibrary.gsa.gov/ElibMain/contractorInfo.do?contractNumber=47QTCA19D00AV&contractorName=ANVAYA+SOLUTIONS+INC&executeQuery=YES,47QTCA19D00AV,ANVAYA SOLUTIONS INC,"193 BLUE RAVINE RD<br>STE 250<br>FOLSOM, CA 95630-4756",916-673-9300,shobha@anvayasolutions.com,http://anvayasolutions.com/,NUMGBF2DFPM1,541519,"Apr 25, 2029","Apr 25, 2039","Annmarie Burns
202-501-0000
annmarie.burns@gsa.gov",,,2025-05-14 20:59:51,https://www.gsaadvantage.gov/ref_text/47QTCA19D00AV/47QTCA19D00AV_online.htm
https://www.gsaelibrary.gsa.gov/ElibMain/contractorInfo.do?contractNumber=36F79724D0213&contractorName=0625+LLC&executeQuery=YES,36F79724D0213,"0625 LLC
DBA: RINSADA","10492 ALLANTE COURT<br>GIBSONIA, PA 15044",347-746-7232,srini@rinsada.com,http://www.rinsada.com/,PFR8HBH8J473,,"Sep 30, 2029",,"JUANA ASTUDILLO
(708)786-7737
juana.astudillo@va.gov",,,2025-05-14 20:59:56,https://www.gsaadvantage.gov/ref_text/36F79724D0213/36F79724D0213_online.htm
https://www.gsaelibrary.gsa.gov/ElibMain/contractorInfo.do?contractNumber=GS-10F-0379Y&contractorName=AERO+E+H+%26+S+INC&executeQuery=YES,GS-10F-0379Y,AERO E H & S INC,"10310B BALTIMORE NATIONAL PIKE<br>ELLICOTT CITY, MD 21042-2128",4104803636,hentgen@aeroehs.com,http://www.aeroehs.net/,VF9WHJ3K9NK3,541620,"Jul 4, 2027","Jul 4, 2032","Ethel Jones
404-215-6911
ethel.jones@gsa.gov",,,2025-05-14 21:00:00,https://www.gsaadvantage.gov/ref_text/GS10F0379Y/GS10F0379Y_online.htm
https://www.gsaelibrary.gsa.gov/ElibMain/contractorInfo.do?contractNumber=36F79722D0180&contractorName=B+%26+B+HEALTH+SERVICES%2C+LLC&executeQuery=YES,36F79722D0180,"B & B HEALTH SERVICES, LLC","1660 LEE STREET<br>ROGERSVILLE, AL 35652",2564444740,jberryhill@bandbhealth.com,http://www.bandbhealth.com/,LNNVJS5LFEW5,,"Jul 31, 2027",,"CRYSTAL MILLER
(708)786-3731
crystal.miller5@va.gov",,,2025-05-14 21:00:13,https://www.gsaadvantage.gov/ref_text/36F79722D0180/36F79722D0180_online.htm
https://www.gsaelibrary.gsa.gov/ElibMain/contractorInfo.do?contractNumber=GS-35F-0518T&contractorName=BH+CONSULTING+INC&executeQuery=YES,GS-35F-0518T,BH CONSULTING INC,"20900 NE 30TH AVE STE 210<br>AVENTURA, FL 33180-2162",2125945946,tkim@WERECOVERDATA.COM,http://www.werecoverdata.com/,N2BMH3DNGNL5,541519,"Jun 28, 2027","Jun 28, 2027","Jade Tonjes
816-823-1721
jade.tonjes@gsa.gov",,,2025-05-14 21:00:18,https://www.gsaadvantage.gov/ref_text/GS35F0518T/GS35F0518T_online.htm
https://www.gsaelibrary.gsa.gov/ElibMain/contractorInfo.do?contractNumber=GS-02F-0147Y&contractorName=BONOLABS+LLC&executeQuery=YES,GS-02F-0147Y,BONOLABS LLC,"6794 MID CITIES AVE<br>BELTSVILLE, MD 20705-1408",240-813-2460,bonniew@bonolabs.com,http://www.bonolabs.com/,UFXSXLGNQNN4,323115,"May 20, 2027","May 20, 2032","Benji Johnson
202-704-4766
benji.johnson@gsa.gov",,,2025-05-14 21:00:23,https://www.gsaadvantage.gov/ref_text/GS02F0147Y/GS02F0147Y_online.htm
https://www.gsaelibrary.gsa.gov/ElibMain/contractorInfo.do?contractNumber=GS-03F-015BA&contractorName=B+%26+C+ENTERPRISES+LLC&executeQuery=YES,GS-03F-015BA,B & C ENTERPRISES LLC,"5897 SILAS CT<br>CARMEL, IN 46033-8832",662-808-5234,bowens@jshred.com,http://https//just-shred.com/,KUCHRLL2YDQ1,561990,"Dec 1, 2028","Dec 1, 2033","Tynisha Oates
267-546-7136
tynisha.oates@gsa.gov",,,2025-05-14 21:00:28,https://www.gsaadvantage.gov/ref_text/GS03F015BA/GS03F015BA_online.htm
https://www.gsaelibrary.gsa.gov/ElibMain/contractorInfo.do?contractNumber=47QTCB22D0491&contractorName=BHANOT+ENGINEERS+INC&executeQuery=YES,47QTCB22D0491,BHANOT ENGINEERS INC,"20400 OBSERVATION DR<br>STE 208<br>GERMANTOWN, MD 20876-4087",(859)442-3300,Vbhanot@bhanotengineers.com,http://www.bhanotengineers.com/,C7BSFL7RRCK8,541512,"Jul 1, 2026",,"Anthony D. Russell
913-415-4744
anthony.d.russell@gsa.gov",,,2025-05-14 21:00:31,http://www.gsa.gov/stars3
https://www.gsaelibrary.gsa.gov/ElibMain/contractorInfo.do?contractNumber=47QTCB22D0261&contractorName=C+%26+C+GLOBAL+SOLUTIONS+LLC&executeQuery=YES,47QTCB22D0261,C & C GLOBAL SOLUTIONS LLC,"43625 LUCKETTS BRIDGE CIR<br>ASHBURN, VA 20148-6721",(571)315-9294,manish.chaturvedi@arcersolutions.com,,K4FZWF5HFKX1,541512,"Jul 1, 2026",,"Anthony D. Russell
913-415-4744
anthony.d.russell@gsa.gov",,,2025-05-14 21:00:52,http://www.gsa.gov/stars3
https://www.gsaelibrary.gsa.gov/ElibMain/contractorInfo.do?contractNumber=47QSHA19D000Q&contractorName=CHENEGA+TRI-SERVICES%2C+LLC&executeQuery=YES,47QSHA19D000Q,"CHENEGA TRI-SERVICES, LLC","5253 PRUE RD STE 230<br>SAN ANTONIO, TX 78240-1759",(210)236-3967,gilbert.ramos@chenega.com,,SFKFN7RQHNV3,561210,"Nov 25, 2027",,"Charla Ford
816-823-2273
charla.ford@gsa.gov",,,2025-05-14 21:00:56,
https://www.gsaelibrary.gsa.gov/ElibMain/contractorInfo.do?contractNumber=GS-03F-0124Y&contractorName=CONFERENCE+TECHNOLOGIES%2C+INC.&executeQuery=YES,GS-03F-0124Y,"CONFERENCE TECHNOLOGIES, INC.","11653 ADIE RD<br>MARYLAND HEIGHTS, MO 63043-3509",541-788-3348,FCMSINC@MSN.COM,http://www.cti.com/,L6V8ZMLHQ436,334290,"Jun 14, 2027","Jun 14, 2032","Jason Mellor
215-446-4934
jason.mellor@gsa.gov",,,2025-05-14 21:01:00,https://www.gsaadvantage.gov/ref_text/GS03F0124Y/GS03F0124Y_online.htm
https://www.gsaelibrary.gsa.gov/ElibMain/contractorInfo.do?contractNumber=GS-07F-0063V&contractorName=C+%26+C+SALES+INC&executeQuery=YES,GS-07F-0063V,C & C SALES INC,"10012 DARNELL ST<br>LENEXA, KS 66215-1151",9138886200,ccillessen@c-cgroup.com,http://c-cgroup.com/,F9JEA1K8PBS7,334512,"Nov 14, 2028","Nov 14, 2028","Rita Edmonds
404-358-7912
rita.edmonds@gsa.gov",,,2025-05-14 21:01:05,https://www.gsaadvantage.gov/ref_text/GS07F0063V/GS07F0063V_online.htm
https://www.gsaelibrary.gsa.gov/ElibMain/contractorInfo.do?contractNumber=47QSMS25D005F&contractorName=CHENEGA+WORLDWIDE+SUPPORT%2C+LLC&executeQuery=YES,47QSMS25D005F,"CHENEGA WORLDWIDE SUPPORT, LLC","1155 KELLY JOHNSON BLVD STE 105<br>COLORADO SPRINGS, CO 80920-3957",703-646-5245,jim.sullivan@chenega.com,https://chenegamios.com/companies/chenega-worldwide-support/,NNY7A7KGA6K5,561210,"Mar 3, 2030","Mar 3, 2045","Leanne K Chumley
251-284-6957
leanne.chumley@gsa.gov",,,2025-05-14 21:01:10,https://www.gsaadvantage.gov/ref_text/47QSMS25D005F/47QSMS25D005F_online.htm
https://www.gsaelibrary.gsa.gov/ElibMain/contractorInfo.do?contractNumber=47QTCA21D00CY&contractorName=D+%26+A+TECHNOLOGIES%2C+GOVERNMENT+SOLUTIONS%2C+LLC&executeQuery=YES,47QTCA21D00CY,"D & A TECHNOLOGIES, GOVERNMENT SOLUTIONS, LLC","3805 YORKTOWN DR<br>HOPEWELL, VA 23860-5360",8042055127,teresa.crawford@datechnet.com,http://www.datechnet.com/,JKH2WVZXLZ57,541519,"Jul 28, 2026","Jul 28, 2041","Jennifer Majdeski
817-850-8174
jennifer.majdeski@gsa.gov",,mailto:jennifer.majdeski@gsa.gov,2025-05-14 21:01:23,https://www.gsaadvantage.gov/ref_text/47QTCA21D00CY/47QTCA21D00CY_online.htm
