Contract Number,Contractor,Address,Phone,Email,Web Address,SAM UEI,NAICS,Socio-Economic,Current Option Period End Date,Ultimate Contract End Date,Govt. POC Name,Govt. POC Phone,Govt. POC Email,Contract Clauses Link,EPLS Status,Terms & Conditions Link
47QRCA25DV025,"AERO TECH GROUP, LLC
DBA: MEI TECHNICAL INTEGRATION SOLUTIONS LLC","18050 SATURN LN STE 300, HOUSTON, TX 77058-4502",,john.kenny@cyfor.com,,F6C8D4VDXFY7,541715,"Small Business, Service Disabled Veteran Owned Small Business, SBA Certified Small Disadvantaged Business, ","Apr 15, 2030",,"Victor Donald
210-209-6816
victor.donald@gsa.gov",,,,Contractor not found on the Excluded Parties List System,
47QTCA18D007Q,"ANYLOGIC NORTH AMERICA, LLC","1 TOWER LN STE 2655, OAKBROOK TERRACE, IL 60181-4666",312-635-3350,dandersen@anylogic.com,http://www.anylogic.com/,F735CR855KA3,511210,"Small Business, ","Feb 25, 2028","Feb 25, 2038","Keith D Cobb
202-714-6282
keith.cobb@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QTCA18D007Q/47QTCA18D007Q_online.htm
"47QRCA24DV106
47QRCA25DS001",1 MISSION PARTNERS,"2385 MOUNTAIN RD, HAYMARKET, VA 20169-1545",,rnelson@nets-us.com,,YJSBKLCHH951,336611,"Small Business, Service Disabled Veteran Owned Small Business, SBA Certified Small Disadvantaged Business, ","Sep 29, 2029",,"Jill Jernigan
682-478-8746
jill.jernigan@gsa.gov",,,,Contractor not found on the Excluded Parties List System,
47QRAA18D00BA,"AERO THERMO TECHNOLOGY, INC","620 DISCOVERY DR NW STE 110, HUNTSVILLE, AL 35806-2817",2569221141,lhuntington@aerothermo.com,http://www.aerothermo.com/,RRWFXLFMKLP1,541715,"Small Business, Women-Owned Small Business, SBA-Certified Women-Owned Small Business, ","Jun 25, 2028","Jun 25, 2038","Derek Souzer
817-850-8276
derek.souzer@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QRAA18D00BA/47QRAA18D00BA_online.htm
47QRAA24D00DD,ANYPLACE MANAGEMENT & DIAGNOSTICS INC,"2001 WINDY TER, STE F, CEDAR PARK, TX 78613-4290",5127660159,staffing@ap-md.com,https://ap-md.com/,GH82HTHVNAA5,561320,"Small Business, Women-Owned Small Business, ","Sep 4, 2029","Sep 4, 2044","Connor Theisen
253-441-7042
connor.theisen@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QRAA24D00DD/47QRAA24D00DD_online.htm
"47QRCA24DV172
47QTCA19D00AQ","1 SOURCE CONSULTING, INC.
DBA: BUSINESS TECHNOLOGY INTEGRATORS","9500 MEDICAL CENTER DR STE 340, UPPER MARLBORO, MD 20774-3727",(301)916-0050,William.Teel@go-bti.com,http://www.go-bti.com/,EXEYN7TNGWH7,336611,"Small Business, Service Disabled Veteran Owned Small Business, SBA Certified Small Disadvantaged Business, ","Sep 29, 2029",,"Jeffrey Medina
817-201-2815
jeffrey.medina@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QTCA19D00AQ/47QTCA19D00AQ_online.htm
36F79724D0121,"AERO US, INC.","500 WEST MADISON STREET, SUITE 1150, CHICAGO, IL 60661",5163191522,angai@aerogen.com,https://aerogen.com/,GLXZHMUAE821,,"Small Business, ","May 14, 2029",,"PATRICK MCGEE
(708)786-5192
patrick.mcgee3@va.gov",,,,Contractor not found on the Excluded Parties List System,
47QTCA22D007R,"ANYTHINGIT, LLC.","2075 91ST ST STE 2, NORTH BERGEN, NJ 07047-6780",877-766-3050,daveb@anythingit.com,http://www.anythingit.com/,YCAFQE7K2BY6,541519,"Small Business, ","May 2, 2027","May 2, 2042","Matrese Newman
202-372-7169
matrese.newman@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QTCA22D007R/47QTCA22D007R_online.htm
"47QRCA25DSE21
47QTCB21D0296",1 SYNC PYRAMID LLC,"2770 BELL RD, STE 7, MONTGOMERY, AL 36117-6890",(334)202-1409,govt@1syncpyramid.com,,M58FN1ML81K7,336611,"Small Business, SBA Certified Small Disadvantaged Business, ","Apr 14, 2030",,"Charles Sykes
817-978-1888
charles.sykes@gsa.gov",,,,Contractor not found on the Excluded Parties List System,http://www.gsa.gov/stars3
GS-35F-423GA,AERO-GRAPHICS INC,"40 W OAKLAND AVE, SOUTH SALT LAKE, UT 84115-3007",801-487-3273,kfrancis@aero-graphics.com,http://www.aero-graphics.com/,EUC4ANPYLH66,541519,"Small Business, ","May 2, 2027","May 2, 2037","Amy Powell
817-239-2716
amy.powell@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/GS35F423GA/GS35F423GA_online.htm
47QTCA25D006F,ANZENA SYSTEMS LLC,"101 JEFFERSON DR STE 227B, MENLO PARK, CA 94025-1114",(650)622-5414,dmsnyder@anzenasystems.com,http://www.anzenasystems.com/,SXXGADSJWXF5,334111,"Small Business, ","Mar 11, 2030","Mar 11, 2045","Kelvin Aiken
202-969-7574
kelvin.aiken@gsa.gov",,,,Contractor not found on the Excluded Parties List System,
47QTCA18D00AR,1 SYNC TECHNOLOGIES LLC,"8150 OLD FEDERAL RD, MONTGOMERY, AL 36117-8007",334-219-3921,govt@1synctech.com,http://www.1synctech.com/,SHKSNU48JHZ7,541511,"Small Business, SBA Certified Small Disadvantaged Business, MAS 8(a) Pool- Competitive, MAS 8(a) Pool- Sole Source and Competitive (exit date: Dec 19, 2026), ","Apr 17, 2028","Apr 17, 2038","Monique Holeman
202-486-2768
monique.holeman@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QTCA18D00AR/47QTCA18D00AR_online.htm
"47QRAA20D0002
47QTCB21D0008","AEROBODIES FITNESS COMPANY, INC.","950 N WASHINGTON ST, SUITE 347, ALEXANDRIA, VA 22314-1534",703-820-0217,franb@aerobodies.com,http://www.aerobodies.com/,YLTRNDMMWM79,541611,"Small Business, Women-Owned Small Business, SBA-Certified Women-Owned Small Business, SBA-Certified Economically Disadvantaged Women-Owned Small Business, SBA Certified Small Disadvantaged Business, MAS 8(a) Pool- Competitive, MAS 8(a) Pool- Sole Source and Competitive (exit date: Oct 7, 2025), ","Oct 3, 2029","Oct 3, 2039","Melissa White
443-761-1705
melissa.white@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QRAA20D0002/47QRAA20D0002_online.htm
47QRCA25DS767,AOC APPLIED SOLUTIONS LLC,"12020 SUNRISE VALLEY DR STE 144, RESTON, VA 20191-3429",,dthomas@aocwins.com,,PW5TPCMYC1J3,541715,"Small Business, ","Dec 18, 2029",,"Jeffrey Medina
817-201-2815
jeffrey.medina@gsa.gov",,,,Contractor not found on the Excluded Parties List System,
"36F79719D0044
36F79719D0052","101 MOBILITY, LLC","5221 OLEANDER DRIVE, WILMINGTON, NC 28403",910-350-2755,mbaker@101mobility.com,http://101mobility.com/,JBPBLDUK4NV7,,"Other Than Small Business, ","Dec 31, 2028",,"BRIGHT OPPONG
(708)786-5854
bright.oppong@va.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/36F79719D0044/36F79719D0044_online.htm
47QSWA18D005A,AEROCLAVE LLC,"4001 FORSYTH RD, WINTER PARK, FL 32792-6833",407-960-7836,mquinoy@aeroclave.com,http://www.aeroclave.com/,RNSCB3JB1FB7,332999,"Small Business, SBA Certified Small Disadvantaged Business, ","May 31, 2028","May 31, 2038","Nakii Junior
816-926-7427
nakii.junior@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QSWA18D005A/47QSWA18D005A_online.htm
GS-35F-0826R,"AOC CONNECT, LLC","19955 HIGHLAND VISTA DR STE 175, ASHBURN, VA 20147-2699",7033455757,dthomas@aocconnect.com,http://www.aocconnect.com/,MN4TNLZQHK45,541519,"Small Business, ","Aug 30, 2025","Aug 30, 2025","Kelvin Aiken
202-969-7574
kelvin.aiken@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/GS35F0826R/GS35F0826R_online.htm
47QTCA23D00B1,1013 ENTERPRISE L.L.C.,"609 H ST NE STE 414, WASHINGTON, DC 20002-7184",2022853320,eseifu@1013enterprise.com,http://1013enterprise.com/,GJKBB1JMY481,541512,"Small Business, Women-Owned Small Business, SBA-Certified Women-Owned Small Business, SBA-Certified Economically Disadvantaged Women-Owned Small Business, SBA Certified Small Disadvantaged Business, ","Jul 10, 2028","Jul 10, 2043","Ontario Washington
202-969-7458
ontario.washington@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QTCA23D00B1/47QTCA23D00B1_online.htm
"47QRCA24DV341
47QRCA25DS132
47QRCA25DU641","AERODYNE INDUSTRIES, LLC
DBA: AERODYNE INDUSTRIES LLC","8910 ASTRONAUT BLVD STE 208, CAPE CANAVERAL, FL 32920-4424",(727)480-3188,aa@aerodyneindustries.com,http://www.aerodyneindustries.com/,KNQNM2J4BDW6,541715,"Small Business, Service Disabled Veteran Owned Small Business, ","Sep 29, 2029",,"Amanda Wesson
000-000-0000
amanda.wesson@gsa.gov",,,,Contractor not found on the Excluded Parties List System,
47QRAA20D005S,"AOC SOLUTIONS, INC","11350 RANDOM HILLS RD STE 400, FAIRFAX, VA 22030-7421",703-994-9940,AUDREY.MOLINARI@AOCSOLUTIONS.COM,http://www.aocsolutions.com/,DU4CLF8P4XL9,541219,"Small Business, Service Disabled Veteran Owned Small Business, SBA Certified Small Disadvantaged Business, ","Apr 20, 2030","Apr 20, 2040","Faye Webb
404-562-0594
faye.webb@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QRAA20D005S/47QRAA20D005S_online.htm
47QSEA20D003B,"10GFEDSUPPLY, LLC","19501 W CATAWBA AVE STE 270, CORNELIUS, NC 28031-4067",412-298-7055,pbollinger@10gfs.com,http://10gfedsupply.com/,EEZ3VAARSK96,322121,"Small Business, Service Disabled Veteran Owned Small Business, SBA Certified Small Disadvantaged Business, ","Jan 12, 2030","Jan 12, 2040","Marlene Teekell
850-247-2769
marlene.teekell@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QSEA20D003B/47QSEA20D003B_online.htm
47QSMS25D0077,AEROFORCE LOGISTICS LLC,"620 E VIENNA AVE, MILWAUKEE, WI 53212-1637",(414)944-0850,heatherv@aeroforcelogistics.com,http://www.aeroforcelogistics.com/,CJMMHN6BBMR7,335132,"Small Business, Women-Owned Small Business, SBA-Certified Women-Owned Small Business, SBA-Certified Economically Disadvantaged Women-Owned Small Business, Service Disabled Veteran Owned Small Business, SBA Certified Small Disadvantaged Business, MAS 8(a) Pool- Competitive, SBA Certified HUBZone Firm, ","Apr 8, 2030","Apr 8, 2045","Stanley G. Hutchinson
703-605-9228
stan.hutchinson@gsa.gov",,,,Contractor not found on the Excluded Parties List System,
47QRAA21D0072,"AON CONSULTING, INC.","2001 K ST NW STE 625N, WASHINGTON, DC 20006-1069",202-429-8593,leslie.austin@aon.com,http://www.aon.com/federal,SFE8M7RF4A37,541611,"Other Than Small Business, ","Jun 23, 2026","Jun 23, 2041","Tyease S. Fuller
253-561-8474
tyease.fuller@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QRAA21D0072/47QRAA21D0072_online.htm
47QTCA18D00H9,"10NOVATE, INC.","605 N LINCOLN ST, ARLINGTON, VA 22201-2308",571-228-6543,tricia.iveson@10novate.com,http://www.10novate.com/,ELHDQLWTSNB7,541511,"Small Business, Women-Owned Small Business, SBA-Certified Women-Owned Small Business, SBA-Certified Economically Disadvantaged Women-Owned Small Business, ","Aug 14, 2028","Aug 14, 2038","Andrew Vela
956-391-8856
andrew.vela@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QTCA18D00H9/47QTCA18D00H9_online.htm
47QSMS25D0010,"AERONIX, INC.","1775 W HIBISCUS BLVD, MELBOURNE, FL 32901-2620",321-984-1671,kcampbell@aeronix.com,http://www.aeronix.com/,JKV4JFYBJAW5,334511,"Small Business, ","Oct 29, 2029","Oct 29, 2044","Melanie Foster
302-657-9289
melanie.foster@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QSMS25D0010/47QSMS25D0010_online.htm
47QSEA23D0031,"AOPD, INC.","2101 SARDIS RD N STE 206B, CHARLOTTE, NC 28227-7711",630-761-0600,shelley@aopd.com,https://aopd.com/,L5LFDXVM82Y5,322230,"Small Business, HUBZone Joint Venture Eligible, ","Apr 13, 2028","Apr 13, 2043","Piotr Ulazka
212-577-8611
piotr.ulazka@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QSEA23D0031/47QSEA23D0031_online.htm
47QSWA21D001S,"11400, INC.","2551 HORSESHOE RD, LANCASTER, PA 17601-5939",7172080593,kmartin@11400llc.com,http://www.11400llc.com/,U9PKUDH7SPX6,333241,"Other Than Small Business, ","Jan 14, 2026","Jan 14, 2041","James Watkins
817-850-8194
james.watkins@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QSWA21D001S/47QSWA21D001S_online.htm
47QRAA19D0063,"AEROSOL MONITORING & ANALYSIS, INC.","1331 ASHTON RD STE A, HANOVER, MD 21076-3157",410-684-3327,twoerner@amaconsulting.com,http://www.amaconsulting.com/,MHLXKMT8AMJ3,541620,"Small Business, SBA Certified Small Disadvantaged Business, ","Mar 17, 2029","Mar 17, 2039","Zandria Pitts
202-969-7666
zandria.pitts@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QRAA19D0063/47QRAA19D0063_online.htm
36F79719D0186,"AOTI, INC.","3512 SEAGATE WAY, SUITE 100, OCEANSIDE, CA 92056",(760)431-4700,Mike.Griffiths@aotinc.net,http://www.aotinc.net/,MDP6B9JB2VB1,,"Small Business, ","Jun 14, 2029",,"ROBERTO RAMIREZ
(708)786-4988
roberto.ramirez@va.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/36F79719D0186/36F79719D0186_online.htm
"47QRCA24DV153
GS-10F-098CA
47QRCA25DS002",11TH HOUR SEARCH LLC,"3110 FAIRVIEW PARK DR, STE 1200, FALLS CHURCH, VA 22042-4503",(301)547-1782,alin@11thhourservice.com,http://www.11thhourservice.com/,MKTEN9W6B3J5,336611,"Small Business, Service Disabled Veteran Owned Small Business, ","Sep 29, 2029",,"Cassandra Allen
406-640-7940
cassandra.allen@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/GS10F098CA/GS10F098CA_online.htm
GS-00F-312DA,"AEROSPACE BUSINESS DEVELOPMENT ASSOCIATES, INC.","3100 PRESIDENTIAL DR, STE 200, FAIRBORN, OH 45324-7139",9373181640,lance.chenault@abdainc.com,http://abdainc.com/,VFDNTZK29MK2,541330,"Small Business, Veteran Owned Small Business, ","Sep 28, 2026","Sep 28, 2036","Trinity Fuller
202-969-5865
trinity.fuller@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/GS00F312DA/GS00F312DA_online.htm
47QTCB21D0177,"AP&O SOLUTIONS, LLC","613 NW LOOP 410 STE 200, SAN ANTONIO, TX 78216-5502",(205)317-0827,travisgriffin@optechs-inc.com,,J5VJSWUSE6A6,541512,"Small Business, Women-Owned Small Business, SBA-Certified Women-Owned Small Business, SBA Certified Small Disadvantaged Business, ","Jul 1, 2026",,"Jean E Fluevog
816-823-2660
jean.fluevog@gsa.gov",,,,Contractor not found on the Excluded Parties List System,http://www.gsa.gov/stars3
GS-07F-078GA,"17TH ST PHOTO SUPPLY, INC.","1168 WANTAGH AVE, WANTAGH, NY 11793-2110",516-500-3605,aj@17photo.com,https://www.17photo.com/,XH64RBKUYEK3,334220,"Small Business, Women-Owned Small Business, SBA-Certified Women-Owned Small Business, ","Feb 28, 2027","Feb 28, 2037","Georgette Destine
212-264-3541
georgette.destine@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/GS07F078GA/GS07F078GA_online.htm
47QRAA22D005H,AEROTECH MAPPING INC,"3285 N FORT APACHE RD # 110, LAS VEGAS, NV 89129-0200",520-561-6537,timburrows@atmlv.com,http://www.atmlv.com/,J34PH4CCSMJ4,541370,"Small Business, Women-Owned Small Business, SBA-Certified Women-Owned Small Business, SBA Certified Small Disadvantaged Business, ","Feb 13, 2027","Feb 13, 2042","Carlus Brown
404-215-6761
carlus.brown@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QRAA22D005H/47QRAA22D005H_online.htm
47QTCA24D003C,"APAL SOLUTIONS, LLC","449 WINCHESTER DR, CHAMBERSBURG, PA 17202-7013",7172296918,apallavaram@apalsolutions.net,https://www.apalsolutions.net/,GDK9S6QFADA6,541519,"Small Business, SBA Certified Small Disadvantaged Business, ","Dec 26, 2028","Dec 26, 2043","Matrese Newman
202-372-7169
matrese.newman@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QTCA24D003C/47QTCA24D003C_online.htm
"GS-35F-333DA
47QTCB22D0132","1800ADMIN, LLC","22522 WELBORNE MANOR SQ, ASHBURN, VA 20148-3144",7039890958,sammy@1800admin.com,http://www.1800admin.com/,KA22XCE5K4Y8,541511,"Small Business, SBA Certified Small Disadvantaged Business, MAS 8(a) Pool- Competitive, MAS 8(a) Pool- Sole Source and Competitive (exit date: Oct 16, 2025), ","Jun 1, 2026","Jun 1, 2036","Deborah M. McCray
703-605-2734
deborah.mccray@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/GS35F333DA/GS35F333DA_online.htm
47QRAA25D003S,"AERY AVIATION, LLC","1009 PROVIDENCE BLVD, NEWPORT NEWS, VA 23602-8701",757-761-2727,swalton@aeryaviation.com,http://www.aeryaviation.com/,N5XVKBBXW7L1,541715,"Small Business, ","Jan 14, 2030","Jan 14, 2045","Freddie Bellamy
202-969-7610
freddie.bellamy@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QRAA25D003S/47QRAA25D003S_online.htm
47QTCA23D00D5,"APAU, LLC","16414 TORTOLA DR, ACCOKEEK, MD 20607-3370",3017060583,e@mechanicode.io,https://mechanicode.io/,NB44QDCXVRK7,541511,"Small Business, SBA Certified Small Disadvantaged Business, MAS 8(a) Pool- Competitive, MAS 8(a) Pool- Sole Source and Competitive (exit date: May 1, 2033), ","Aug 23, 2028","Aug 23, 2043","August Mccarthy
202-839-7364
august.mccarthy@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QTCA23D00D5/47QTCA23D00D5_online.htm
47QRAA25D004Y,"1801 CONSULTING, LLC","23743 CLARKSMEADE DR., CLARKSBURG, MD 20871-4344",301-237-8731,juan@1801consulting.com,http://www.1801creates.com/,EFXSNRHGSXN5,541511,"Small Business, SBA Certified Small Disadvantaged Business, ","Feb 4, 2030","Feb 4, 2045","Tashonna Gordon
618-975-1016
tashonna.gordon@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QRAA25D004Y/47QRAA25D004Y_online.htm
GS-07F-0358V,AES CORPORATION,"285 NEWBURY ST, PEABODY, MA 01960-7469",978-535-7310,msherman@aes-corp.com,http://www.aes-security.com/,J3A6JX4KGN56,334290,"Small Business, ","Jun 7, 2029","Jun 7, 2029","Jonathan L. Woodcock
817-850-8373
jonathan.woodcock@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/GS07F0358V/GS07F0358V_online.htm
GS-30F-0015U,APC EQUIPMENT & MANUFACTURING INC,"7291 S FRANCES AVE, TUCSON, AZ 85756-9704",520-975-7464,kris@apcequipment.com,http://www.apcequipment.com/,DN78DG8PV1Q5,336212,"Small Business, ","Apr 7, 2028","Apr 7, 2028","Patti Fay
347-331-7950
patricia.fay@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/GS30F0015U/GS30F0015U_online.htm
GS-35F-0617W,"1901 GROUP, LLC","1750 PRESIDENTS ST, RESTON, VA 20190-5617",571-526-7840,Michael.L.Dinkins@leidos.com,http://www.1901group.com/,PTMRDGJPKHD5,541519,"Other Than Small Business, ","Sep 1, 2030","Sep 1, 2030","Kelvin Aiken
202-969-7574
kelvin.aiken@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/GS35F0617W/GS35F0617W_online.htm
47QRAA22D00DR,AES GROUP INC,"11031 S PIKES PEAK DR STE 202, PARKER, CO 80138-7360",303-841-3922,clbenson@aes-grp.com,http://www.aes-grp.com/,KXGTQ3BY1XB8,541330,"Small Business, Service Disabled Veteran Owned Small Business, ","Aug 17, 2027","Aug 17, 2042","Connor Theisen
253-441-7042
connor.theisen@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QRAA22D00DR/47QRAA22D00DR_online.htm
47QSMA19D08QA,"APCO GRAPHICS, INC.","388 GRANT ST SE, ATLANTA, GA 30312-2227",404-688-9000,gpearson@apcosigns.com,http://www.apcosigns.com/,LC62KRR8ERV9,339950,"Small Business, ","Jun 23, 2029","Jun 23, 2039","Steve Dacunha
215-446-4787
steve.dacunha@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QSMA19D08QA/47QSMA19D08QA_online.htm
47QTCA23D001U,1A1 INNOVATIONS LLC,"12901 GULF LN, UNIT 503, MADEIRA BEACH, FL 33708-2682",443-251-6216,SanthoshJ@1a1innovations.com,http://https//www.1a1innovations.com/,YHM7X54WSLT1,541512,"Small Business, SBA Certified Small Disadvantaged Business, ","Nov 22, 2027","Nov 22, 2042","Joseph Colwell
816-614-0918
joseph.colwell@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QTCA23D001U/47QTCA23D001U_online.htm
