Contract Number,Contractor,Address,Phone,Email,Web Address,SAM UEI,NAICS,Socio-Economic,Current Option Period End Date,Ultimate Contract End Date,Govt. POC Name,Govt. POC Phone,Govt. POC Email,Contract Clauses Link,EPLS Status,Terms & Conditions Link
47QRAA24D0083,"1 ACORD SERVICES, LLC","6815 CARTLEDGE RD, BOX SPRINGS, GA 31801-2020",910-544-5771,dane.acord@1acord.com,http://www.1acord.com/,E1WSK3KM3DK7,541690,"Small Business, Service Disabled Veteran Owned Small Business, SBA Certified Small Disadvantaged Business, ","May 12, 2029","May 12, 2044","Alana Nweke
202-899-0837
alana.nweke@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QRAA24D0083/47QRAA24D0083_online.htm
GS-30F-0030X,AERO SPECIALTIES INC,"11175 W EMERALD ST, BOISE, ID 83713-8932",208-378-9888,DEREK@AEROSPECIALTIES.COM,http://www.aerospecialties.com/,G2NEVSFVF3Y5,336112,"Other Than Small Business, ","Jul 24, 2026","Jul 24, 2031","Pamela T Dail
202-694-2919
pamela.dail@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/GS30F0030X/GS30F0030X_online.htm
47QTCB21D0300,ANVIL JV CONSULTING LLC,"12211 LAKE JAMES DR, HERNDON, VA 20171-2010",(703)296-7038,brittney.killen@forgegroupllc.com,https://www.anviljv.com/,Q6EKGA4K7TW7,541512,"Small Business, SBA Certified Small Disadvantaged Business, SBA Certified 8(a) Firm, ","Jul 1, 2026",,"Jean E Fluevog
816-823-2660
jean.fluevog@gsa.gov",,,,Contractor not found on the Excluded Parties List System,http://www.gsa.gov/stars3
47QTCB22D0554,1 ADAPTIVE ARROW ALLIANCE LLC,"1054 POCAHONTAS TRL, KING WILLIAM, VA 23086-2114",(804)402-1632,STARS3@1a3llc.com,http://1a3llc.com/,DRP1WPYBJRR8,541512,"Small Business, Tribally Owned Firm, SBA Certified Small Disadvantaged Business, ","Jul 1, 2026",,"Anthony D. Russell
913-415-4744
anthony.d.russell@gsa.gov",,,,Contractor not found on the Excluded Parties List System,http://www.gsa.gov/stars3
47QRCA25DV025,"AERO TECH GROUP, LLC
DBA: MEI TECHNICAL INTEGRATION SOLUTIONS LLC","18050 SATURN LN STE 300, HOUSTON, TX 77058-4502",,john.kenny@cyfor.com,,F6C8D4VDXFY7,541715,"Small Business, Service Disabled Veteran Owned Small Business, SBA Certified Small Disadvantaged Business, ","Apr 15, 2030",,"Victor Donald
210-209-6816
victor.donald@gsa.gov",,,,Contractor not found on the Excluded Parties List System,
47QTCA18D007Q,"ANYLOGIC NORTH AMERICA, LLC","1 TOWER LN STE 2655, OAKBROOK TERRACE, IL 60181-4666",312-635-3350,dandersen@anylogic.com,http://www.anylogic.com/,F735CR855KA3,511210,"Small Business, ","Feb 25, 2028","Feb 25, 2038","Keith D Cobb
202-714-6282
keith.cobb@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QTCA18D007Q/47QTCA18D007Q_online.htm
"47QRCA24DV106
47QRCA25DS001",1 MISSION PARTNERS,"2385 MOUNTAIN RD, HAYMARKET, VA 20169-1545",,rnelson@nets-us.com,,YJSBKLCHH951,336611,"Small Business, Service Disabled Veteran Owned Small Business, SBA Certified Small Disadvantaged Business, ","Sep 29, 2029",,"Jill Jernigan
682-478-8746
jill.jernigan@gsa.gov",,,,Contractor not found on the Excluded Parties List System,
47QRAA18D00BA,"AERO THERMO TECHNOLOGY, INC","620 DISCOVERY DR NW STE 110, HUNTSVILLE, AL 35806-2817",2569221141,lhuntington@aerothermo.com,http://www.aerothermo.com/,RRWFXLFMKLP1,541715,"Small Business, Women-Owned Small Business, SBA-Certified Women-Owned Small Business, ","Jun 25, 2028","Jun 25, 2038","Derek Souzer
817-850-8276
derek.souzer@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QRAA18D00BA/47QRAA18D00BA_online.htm
47QRAA24D00DD,ANYPLACE MANAGEMENT & DIAGNOSTICS INC,"2001 WINDY TER, STE F, CEDAR PARK, TX 78613-4290",5127660159,staffing@ap-md.com,https://ap-md.com/,GH82HTHVNAA5,561320,"Small Business, Women-Owned Small Business, ","Sep 4, 2029","Sep 4, 2044","Connor Theisen
253-441-7042
connor.theisen@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QRAA24D00DD/47QRAA24D00DD_online.htm
"47QRCA24DV172
47QTCA19D00AQ","1 SOURCE CONSULTING, INC.
DBA: BUSINESS TECHNOLOGY INTEGRATORS","9500 MEDICAL CENTER DR STE 340, UPPER MARLBORO, MD 20774-3727",(301)916-0050,William.Teel@go-bti.com,http://www.go-bti.com/,EXEYN7TNGWH7,336611,"Small Business, Service Disabled Veteran Owned Small Business, SBA Certified Small Disadvantaged Business, ","Sep 29, 2029",,"Jeffrey Medina
817-201-2815
jeffrey.medina@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QTCA19D00AQ/47QTCA19D00AQ_online.htm
36F79724D0121,"AERO US, INC.","500 WEST MADISON STREET, SUITE 1150, CHICAGO, IL 60661",5163191522,angai@aerogen.com,https://aerogen.com/,GLXZHMUAE821,,"Small Business, ","May 14, 2029",,"PATRICK MCGEE
(708)786-5192
patrick.mcgee3@va.gov",,,,Contractor not found on the Excluded Parties List System,
47QTCA22D007R,"ANYTHINGIT, LLC.","2075 91ST ST STE 2, NORTH BERGEN, NJ 07047-6780",877-766-3050,daveb@anythingit.com,http://www.anythingit.com/,YCAFQE7K2BY6,541519,"Small Business, ","May 2, 2027","May 2, 2042","Matrese Newman
202-372-7169
matrese.newman@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QTCA22D007R/47QTCA22D007R_online.htm
"47QRCA25DSE21
47QTCB21D0296",1 SYNC PYRAMID LLC,"2770 BELL RD, STE 7, MONTGOMERY, AL 36117-6890",(334)202-1409,govt@1syncpyramid.com,,M58FN1ML81K7,336611,"Small Business, SBA Certified Small Disadvantaged Business, ","Apr 14, 2030",,"Charles Sykes
817-978-1888
charles.sykes@gsa.gov",,,,Contractor not found on the Excluded Parties List System,http://www.gsa.gov/stars3
GS-35F-423GA,AERO-GRAPHICS INC,"40 W OAKLAND AVE, SOUTH SALT LAKE, UT 84115-3007",801-487-3273,kfrancis@aero-graphics.com,http://www.aero-graphics.com/,EUC4ANPYLH66,541519,"Small Business, ","May 2, 2027","May 2, 2037","Amy Powell
817-239-2716
amy.powell@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/GS35F423GA/GS35F423GA_online.htm
47QTCA25D006F,ANZENA SYSTEMS LLC,"101 JEFFERSON DR STE 227B, MENLO PARK, CA 94025-1114",(650)622-5414,dmsnyder@anzenasystems.com,http://www.anzenasystems.com/,SXXGADSJWXF5,334111,"Small Business, ","Mar 11, 2030","Mar 11, 2045","Kelvin Aiken
202-969-7574
kelvin.aiken@gsa.gov",,,,Contractor not found on the Excluded Parties List System,
47QTCA18D00AR,1 SYNC TECHNOLOGIES LLC,"8150 OLD FEDERAL RD, MONTGOMERY, AL 36117-8007",334-219-3921,govt@1synctech.com,http://www.1synctech.com/,SHKSNU48JHZ7,541511,"Small Business, SBA Certified Small Disadvantaged Business, MAS 8(a) Pool- Competitive, MAS 8(a) Pool- Sole Source and Competitive (exit date: Dec 19, 2026), ","Apr 17, 2028","Apr 17, 2038","Monique Holeman
202-486-2768
monique.holeman@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QTCA18D00AR/47QTCA18D00AR_online.htm
"47QRAA20D0002
47QTCB21D0008","AEROBODIES FITNESS COMPANY, INC.","950 N WASHINGTON ST, SUITE 347, ALEXANDRIA, VA 22314-1534",703-820-0217,franb@aerobodies.com,http://www.aerobodies.com/,YLTRNDMMWM79,541611,"Small Business, Women-Owned Small Business, SBA-Certified Women-Owned Small Business, SBA-Certified Economically Disadvantaged Women-Owned Small Business, SBA Certified Small Disadvantaged Business, MAS 8(a) Pool- Competitive, MAS 8(a) Pool- Sole Source and Competitive (exit date: Oct 7, 2025), ","Oct 3, 2029","Oct 3, 2039","Melissa White
443-761-1705
melissa.white@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QRAA20D0002/47QRAA20D0002_online.htm
47QRCA25DS767,AOC APPLIED SOLUTIONS LLC,"12020 SUNRISE VALLEY DR STE 144, RESTON, VA 20191-3429",,dthomas@aocwins.com,,PW5TPCMYC1J3,541715,"Small Business, ","Dec 18, 2029",,"Jeffrey Medina
817-201-2815
jeffrey.medina@gsa.gov",,,,Contractor not found on the Excluded Parties List System,
"36F79719D0044
36F79719D0052","101 MOBILITY, LLC","5221 OLEANDER DRIVE, WILMINGTON, NC 28403",910-350-2755,mbaker@101mobility.com,http://101mobility.com/,JBPBLDUK4NV7,,"Other Than Small Business, ","Dec 31, 2028",,"BRIGHT OPPONG
(708)786-5854
bright.oppong@va.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/36F79719D0044/36F79719D0044_online.htm
47QSWA18D005A,AEROCLAVE LLC,"4001 FORSYTH RD, WINTER PARK, FL 32792-6833",407-960-7836,mquinoy@aeroclave.com,http://www.aeroclave.com/,RNSCB3JB1FB7,332999,"Small Business, SBA Certified Small Disadvantaged Business, ","May 31, 2028","May 31, 2038","Nakii Junior
816-926-7427
nakii.junior@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QSWA18D005A/47QSWA18D005A_online.htm
GS-35F-0826R,"AOC CONNECT, LLC","19955 HIGHLAND VISTA DR STE 175, ASHBURN, VA 20147-2699",7033455757,dthomas@aocconnect.com,http://www.aocconnect.com/,MN4TNLZQHK45,541519,"Small Business, ","Aug 30, 2025","Aug 30, 2025","Kelvin Aiken
202-969-7574
kelvin.aiken@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/GS35F0826R/GS35F0826R_online.htm
47QTCA23D00B1,1013 ENTERPRISE L.L.C.,"609 H ST NE STE 414, WASHINGTON, DC 20002-7184",2022853320,eseifu@1013enterprise.com,http://1013enterprise.com/,GJKBB1JMY481,541512,"Small Business, Women-Owned Small Business, SBA-Certified Women-Owned Small Business, SBA-Certified Economically Disadvantaged Women-Owned Small Business, SBA Certified Small Disadvantaged Business, ","Jul 10, 2028","Jul 10, 2043","Ontario Washington
202-969-7458
ontario.washington@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QTCA23D00B1/47QTCA23D00B1_online.htm
"47QRCA24DV341
47QRCA25DS132
47QRCA25DU641","AERODYNE INDUSTRIES, LLC
DBA: AERODYNE INDUSTRIES LLC","8910 ASTRONAUT BLVD STE 208, CAPE CANAVERAL, FL 32920-4424",(727)480-3188,aa@aerodyneindustries.com,http://www.aerodyneindustries.com/,KNQNM2J4BDW6,541715,"Small Business, Service Disabled Veteran Owned Small Business, ","Sep 29, 2029",,"Amanda Wesson
000-000-0000
amanda.wesson@gsa.gov",,,,Contractor not found on the Excluded Parties List System,
47QRAA20D005S,"AOC SOLUTIONS, INC","11350 RANDOM HILLS RD STE 400, FAIRFAX, VA 22030-7421",703-994-9940,AUDREY.MOLINARI@AOCSOLUTIONS.COM,http://www.aocsolutions.com/,DU4CLF8P4XL9,541219,"Small Business, Service Disabled Veteran Owned Small Business, SBA Certified Small Disadvantaged Business, ","Apr 20, 2030","Apr 20, 2040","Faye Webb
404-562-0594
faye.webb@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QRAA20D005S/47QRAA20D005S_online.htm
47QSEA20D003B,"10GFEDSUPPLY, LLC","19501 W CATAWBA AVE STE 270, CORNELIUS, NC 28031-4067",412-298-7055,pbollinger@10gfs.com,http://10gfedsupply.com/,EEZ3VAARSK96,322121,"Small Business, Service Disabled Veteran Owned Small Business, SBA Certified Small Disadvantaged Business, ","Jan 12, 2030","Jan 12, 2040","Marlene Teekell
850-247-2769
marlene.teekell@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QSEA20D003B/47QSEA20D003B_online.htm
47QSMS25D0077,AEROFORCE LOGISTICS LLC,"620 E VIENNA AVE, MILWAUKEE, WI 53212-1637",(414)944-0850,heatherv@aeroforcelogistics.com,http://www.aeroforcelogistics.com/,CJMMHN6BBMR7,335132,"Small Business, Women-Owned Small Business, SBA-Certified Women-Owned Small Business, SBA-Certified Economically Disadvantaged Women-Owned Small Business, Service Disabled Veteran Owned Small Business, SBA Certified Small Disadvantaged Business, MAS 8(a) Pool- Competitive, SBA Certified HUBZone Firm, ","Apr 8, 2030","Apr 8, 2045","Stanley G. Hutchinson
703-605-9228
stan.hutchinson@gsa.gov",,,,Contractor not found on the Excluded Parties List System,
47QRAA21D0072,"AON CONSULTING, INC.","2001 K ST NW STE 625N, WASHINGTON, DC 20006-1069",202-429-8593,leslie.austin@aon.com,http://www.aon.com/federal,SFE8M7RF4A37,541611,"Other Than Small Business, ","Jun 23, 2026","Jun 23, 2041","Tyease S. Fuller
253-561-8474
tyease.fuller@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QRAA21D0072/47QRAA21D0072_online.htm
47QTCA18D00H9,"10NOVATE, INC.","605 N LINCOLN ST, ARLINGTON, VA 22201-2308",571-228-6543,tricia.iveson@10novate.com,http://www.10novate.com/,ELHDQLWTSNB7,541511,"Small Business, Women-Owned Small Business, SBA-Certified Women-Owned Small Business, SBA-Certified Economically Disadvantaged Women-Owned Small Business, ","Aug 14, 2028","Aug 14, 2038","Andrew Vela
956-391-8856
andrew.vela@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QTCA18D00H9/47QTCA18D00H9_online.htm
47QSMS25D0010,"AERONIX, INC.","1775 W HIBISCUS BLVD, MELBOURNE, FL 32901-2620",321-984-1671,kcampbell@aeronix.com,http://www.aeronix.com/,JKV4JFYBJAW5,334511,"Small Business, ","Oct 29, 2029","Oct 29, 2044","Melanie Foster
302-657-9289
melanie.foster@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QSMS25D0010/47QSMS25D0010_online.htm
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
